age,bodyssa,bodysss,clinssa,clinsss,disssa,dissss,gndssa,gndsss,headssa,headsss,height,kd,legssa,legsss,pas,reach,rev,ssa,sss,sub,tda,tds,tsa,tss,winner
-1.095890411,-1,-2,0,-2,-2,-1,1,1,2,2,-4,1,-2,-2,0,-10,0,-1,-2,0,0,0,-4,-5,0
-0.347945205,-17,-11,0,0,-6,12,-12,-9,-2,12,1,-1,1,2,1,0,1,-18,3,1,0,0,-24,-3,0
-0.060273973,13,13,-9,-6,-35,-12,23,20,-21,0,0,1,-13,-11,3,-1,3,-21,2,2,4,1,-20,3,0
-5.315068493,10,9,6,4,33,3,0,0,83,40,0,0,-54,-42,0,1,0,39,7,0,0,0,39,7,1
8.326027397,-2,1,0,1,-13,0,26,20,5,12,-4,0,10,8,9,-4,9,13,21,1,8,4,95,95,1
-3.893150685,-12,-5,-4,-1,-24,-9,38,32,19,25,3,0,3,2,2,1,2,10,22,0,4,4,76,84,0
5.706849315,0,1,1,1,-60,7,-5,-3,-51,13,1,0,-13,-9,0,0,0,-64,5,0,6,2,-73,-2,0
-4.638356164,36,27,21,13,169,79,-4,-2,147,60,4,0,3,3,-1,6,-1,186,90,0,-4,-1,252,150,1
-0.287671233,12,9,19,18,12,11,3,3,8,8,0,1,14,15,2,-2,2,34,32,1,15,3,70,60,0
7.320547945,-4,2,7,8,102,68,14,10,132,89,-2,0,-5,-5,4,0,4,123,86,2,6,3,169,122,1
-5.336986301,2,2,-3,2,-25,-2,30,19,11,22,3,0,-11,-5,5,4,5,2,19,-1,6,6,22,35,1
-4.282191781,6,12,1,0,-23,30,19,18,-50,6,1,0,41,30,4,4,4,-3,48,0,5,3,2,53,0
-15.42739726,36,29,50,33,26,3,7,7,42,14,1,0,5,0,3,2,3,83,43,0,3,3,160,99,1
-11.44657534,0,0,0,0,5,-1,8,4,13,3,5,1,0,0,0,0,0,13,3,0,0,0,14,3,1
-2.131506849,8,7,-1,-1,13,10,0,0,5,3,1,0,-1,-1,0,-5,0,12,9,0,-1,0,12,9,1
-1.408219178,8,6,5,5,3,7,13,13,14,20,1,2,-1,-1,0,6,0,21,25,0,0,0,19,22,0
-2.857534247,13,10,-3,-1,-80,1,-4,-2,-116,-25,-2,0,16,13,0,0,0,-87,-2,0,-5,-3,-91,-4,1
4.44109589,8,5,7,6,-6,2,11,8,-2,6,1,0,6,5,1,-6,1,12,16,3,2,2,33,33,0
-3.873972603,-15,-9,0,-1,20,-5,9,6,50,15,2,1,-6,-6,3,9,3,29,0,0,4,5,26,-1,0
-2.347945205,-43,-34,0,1,72,-35,0,0,128,12,2,1,-13,-12,0,7,0,72,-34,0,1,0,72,-34,0
-0.298630137,0,5,4,5,10,-1,-18,-18,0,-15,3,1,-4,-4,-2,2,-2,-4,-14,0,-9,-4,-40,-46,0
-4.915068493,10,7,0,0,63,9,36,31,89,33,0,0,0,0,4,3,4,99,40,0,18,9,163,95,1
4.761643836,0,2,0,0,-8,1,1,1,-7,0,-3,0,0,0,3,-3,3,-7,2,1,2,2,-5,4,0
-7.97260274,2,-1,0,0,-72,-9,23,16,-43,11,0,2,-8,-3,2,2,2,-49,7,0,-4,4,-45,14,1
0.78630137,8,3,1,-1,21,22,0,1,-9,12,2,0,23,7,1,-1,1,22,22,0,0,1,24,26,0
-13.64931507,34,11,9,4,95,18,10,4,95,26,0,0,-15,-11,1,0,1,114,26,0,-18,-4,69,-20,0
5,4,2,-4,-3,19,9,27,22,19,10,-1,-1,19,16,6,1,6,42,28,1,5,5,126,92,0
5.712328767,18,12,11,8,64,31,2,1,42,12,-2,2,17,16,-5,-5,-5,77,40,-1,-4,-3,79,42,1
2.046575342,3,5,13,13,-10,22,2,1,-11,13,-3,0,13,18,0,-2,0,5,36,0,-2,0,2,37,1
7.961643836,-20,-8,-5,-5,-42,17,0,0,-30,17,-2,0,3,3,0,0,0,-47,12,0,2,0,-48,11,0
1.906849315,23,20,1,0,45,54,0,0,-5,11,-2,0,28,23,0,-2,0,46,54,0,-3,0,48,55,0
-6.868493151,5,0,0,0,19,-1,0,0,11,1,1,1,3,-2,0,3,0,19,-1,0,0,0,19,-1,0
-0.178082192,3,4,8,8,4,7,13,8,24,20,2,3,-2,-1,0,0,0,25,23,1,-2,0,35,32,0
-6.397260274,-1,0,-2,0,0,1,0,0,-1,0,-1,0,0,1,0,7,0,-2,1,1,-2,-1,-2,1,1
-8.523287671,11,8,10,7,10,-2,24,14,34,11,2,1,-1,0,1,5,1,44,19,0,8,4,85,57,0
4.405479452,11,10,3,13,44,42,3,2,21,30,-1,0,18,17,2,0,2,50,57,0,-6,0,30,37,1
-12.15342466,-14,-4,-12,-11,14,28,0,0,30,34,-2,1,-14,-13,-1,-3,-1,2,17,0,-8,-3,1,17,0
11.42191781,-3,-3,-6,-5,-4,-2,20,20,13,16,-2,0,0,0,3,-1,3,10,13,1,12,3,36,39,0
-1.731506849,14,12,6,5,20,7,7,8,15,4,-1,0,4,4,5,1,5,33,20,-1,4,2,62,47,1
3.635616438,4,3,0,0,27,5,16,16,37,16,0,1,2,2,2,6,2,43,21,0,-1,0,43,21,1
-3.945205479,5,6,3,2,84,50,0,0,68,34,-3,0,14,12,0,0,0,87,52,0,0,0,89,55,1
6.328767123,-13,-6,8,5,-33,-8,5,4,-4,7,1,0,-3,0,4,-1,4,-20,1,1,1,2,-40,-18,0
-5.621917808,11,13,4,7,12,22,6,5,7,18,-1,0,4,3,4,-4,4,22,34,0,-3,3,71,83,1
-6.64109589,5,4,-6,-5,39,-9,13,8,65,10,0,0,-24,-20,1,7,1,46,-6,1,-3,0,59,3,1
-4.019178082,-2,-2,-1,0,25,22,4,3,12,12,-4,1,18,15,0,1,0,28,25,0,-3,1,27,24,0
5.501369863,-2,-1,2,1,-1,0,1,1,5,4,-2,1,-1,-1,0,-4,0,2,2,0,-1,-1,2,2,0
-0.054794521,-2,-2,0,0,12,4,-1,0,5,-1,4,0,8,7,-2,6,-2,11,4,-1,-1,-1,-4,-10,0
5.295890411,-2,0,-2,0,-14,18,4,3,-15,16,1,1,5,5,0,1,0,-12,21,0,0,1,-16,17,0
6.693150685,24,16,12,10,19,31,0,0,-2,17,-3,0,9,8,0,-5,0,31,41,0,-2,-1,16,26,0
-0.821917808,12,10,8,6,11,11,1,1,5,5,0,1,3,3,0,0,0,20,18,0,-5,0,23,20,1
0.594520548,9,6,6,3,11,3,8,6,14,5,-6,2,2,1,0,-3,0,25,12,0,0,0,27,14,0
-0.939726027,-9,-5,-6,-3,4,-2,-8,-6,3,-3,-1,0,-4,-3,0,0,0,-10,-11,0,0,-2,-80,-76,1
-2.553424658,0,1,-10,-9,2,2,-28,-10,-24,-8,0,0,-12,-10,-3,3,-3,-36,-17,-1,9,4,-18,-2,1
1.380821918,-1,2,15,8,45,35,2,2,49,32,-2,2,14,11,1,-4,1,62,45,0,0,0,61,44,0
9.24109589,-10,-7,-9,-3,-129,-34,0,0,-127,-29,-2,1,-1,-1,0,-6,0,-138,-37,0,9,0,-137,-36,0
4.838356164,3,6,19,11,-4,25,18,14,11,25,-2,0,19,19,8,-1,8,33,50,0,13,4,45,59,0
1.306849315,5,4,6,5,16,6,9,6,18,6,0,0,8,7,-3,-2,-3,31,17,-2,11,6,68,43,0
2.873972603,-4,-2,0,2,-9,-4,2,2,-7,-2,-2,0,4,4,2,3,2,-7,0,3,3,1,-3,4,0
-0.734246575,-18,-11,-1,0,76,47,-1,-1,15,-5,1,0,77,62,-1,-1,-1,74,46,0,-3,-1,71,42,1
4.035616438,-3,-2,0,0,20,-2,7,3,29,4,-1,1,1,-1,0,-1,0,27,1,0,0,0,27,1,0
-1.147945205,-3,-3,-4,-3,-10,-1,14,8,4,8,-4,0,-1,-1,2,-2,2,0,4,0,19,7,-34,-31,1
-4.216438356,4,3,6,-1,13,9,8,4,26,9,0,1,-3,0,0,1,0,27,12,0,3,0,21,6,0
6.104109589,-4,-4,0,-1,-4,-6,19,12,19,9,-1,2,0,0,1,-3,1,15,5,-1,0,0,19,8,1
2.065753425,-13,2,16,13,54,14,2,1,113,51,0,0,-28,-25,0,-4,0,72,28,0,-6,1,74,29,0
